AAl_10_1|tendention

AAl_11_1|diagramm

AAl_18_1|unsimilar

AAl_1_2|femenistic

AAl_27_2|knowledges

AAl_31_2|universitet

AAl_4_2|acceptment

AAl_6_2|acception

AAl_7_1|tendention

AAl_9_2|unnormal

ADe_18_1|tendention

ADe_21_2|knowledges

ADe_5_2|knowleges

AMe_3_2|unnormal

ASt_6_2|individ|individs

DAr_31_1|tendension

DAr_8_1|tendentions|tendention|increasement

DAr_8_2|increasement|abonement

DZu_10_2|non-important

DZu_18_2|knowledges

DZu_21_2|unresponseble

DZu_3_2|knowledges

EEm_6_2|unperspective

EPa_13_2|acupuncthurism|herbalism|therapism

EPa_29_1|unsimilar

EPa_33_2|increasement

EPa_53_1|tendentions

EPa_66_1|diagramms

ESha_20_2|cenzure

ESha_27_2|democration

ESha_44_1|tendention

ESha_60_1|unsimilar

ESha_63_2.txt|aboniment

EZa_29_2|unappropriate

EZa_62_2|antigovernmental

EZa_91_2|freeness

EZa_95_1|inequal

KKo_4_2|increasement

LPo_9_2|knowledges

MBi_19_2|knowledges

MBi_2_2|knowledges

MBi_5_1|diagramm

MGr_10_2|belonginess

MGr_12_2|unsimilar

MTsy_28_2|tendention

MTsy_46_2|unappropriate

TSha_11_1|tendention

TSha_18_2|unequality

TSha_20_2|unequality

VKo_10_2|unstability

VKo_11_1|diagramm

VKo_16_2|unappropriate

VPe_23_1|supportment

VPe_34_2|humanitarium

VPe_41_2|knowledges

ZEv_15_2|unappropriate

ZEv_25_2|unability

ZEv_37_2|discomfortable

ZEv_5_2|unappropriate

ZEv_6_2|unappropriate
